num_patterns,average_pattern_depth,variance_pattern_depth,max_pattern_depth,min_pattern_depth,enumeration_time,typegen_time,solver_time,processing_time,total_time,program_gen_time,result
1,3.0,0.0,3,3,541,130,9297,740969,760302,140,Sat
1,3.0,0.0,3,3,541,130,7034,744668,756086,135,Sat
1,2.0,0.0,2,2,541,130,3966,738440,746694,137,Sat
1,1.0,0.0,1,1,194,297,7704,837137,854108,303,Unsat
1,2.0,0.0,2,2,216,193,2906,845544,852718,199,Unsat
5,2.4,0.24000001,3,2,672,77,6924,735642,746938,84,Sat
1,1.0,0.0,1,1,672,77,5729,753882,763861,94,Sat
4,2.75,0.1875,3,2,672,77,618802,0,633235,86,Unknown
4,2.25,0.6875,3,1,316,30,2992,736067,743160,33,Sat
2,3.0,0.0,3,3,316,30,3135,743025,750334,39,Sat
1,2.0,0.0,2,2,316,30,7492,705974,723013,40,Sat
2,2.0,0.0,2,2,316,30,2944,718834,725926,36,Sat
5,3.0,0.0,3,3,213,25,503479,0,507611,28,Unknown
3,3.0,0.0,3,3,213,25,504263,0,508159,49,Unknown
2,3.0,0.0,3,3,213,25,503615,0,507593,41,Unknown
4,3.0,0.0,3,3,213,25,3296,757163,764513,48,Sat
3,2.6666667,0.22222221,3,2,213,25,2776,866596,873408,35,Unsat
1,2.0,0.0,2,2,213,25,3084,732422,739626,32,Sat
17,2.6470587,0.34602073,3,1,1035,186,19618,752316,782633,198,Sat
11,2.6363637,0.23140496,3,2,1035,186,11762,767526,789734,230,Sat
1,1.0,0.0,1,1,1035,186,3323,751625,759406,204,Sat
1,1.0,0.0,1,1,186,42,2736,835254,842083,43,Unsat
1,1.0,0.0,1,1,341,245,10754,854179,869574,252,Unsat
1,3.0,0.0,3,3,1604,2456,4346,843056,851714,2502,Unsat
1,3.0,0.0,3,3,1604,2456,6700,840814,851781,2487,Unsat
1,3.0,0.0,3,3,1604,2456,10843,835845,856453,2500,Unsat
1,2.0,0.0,2,2,1604,2456,5260,842591,855726,2498,Unsat
1,2.0,0.0,2,2,352,326,2700,836152,843002,330,Unsat
1,2.0,0.0,2,2,257,189,20633,837498,866220,204,Unsat
5,2.0,0.0,2,2,1822,753,7217,752412,764708,808,Sat
1,1.0,0.0,1,1,1822,753,13632,742969,767410,901,Sat
1,3.0,0.0,3,3,1822,753,10334,751566,772675,802,Sat
2,1.0,0.0,1,1,271,35,2691,717637,724396,37,Sat
1,1.0,0.0,1,1,271,35,2770,707663,714526,40,Sat
6,2.0,0.33333334,3,1,432,167,13172,780443,803553,177,Unsat
3,2.6666667,0.22222221,3,2,432,167,5352,742901,752849,181,Sat
1,3.0,0.0,3,3,432,167,7890,783458,795776,180,Sat
1,2.0,0.0,2,2,166,110,2776,843160,850044,113,Unsat
1,2.0,0.0,2,2,214,76,4057,847647,855723,80,Unsat
1,2.0,0.0,2,2,214,76,8999,838507,856744,89,Unsat
3,2.6666667,0.22222221,3,2,318,137,2705,789538,796374,157,Unsat
1,3.0,0.0,3,3,318,137,7288,831671,848270,203,Unsat
1,1.0,0.0,1,1,149,107,4764,844191,853266,109,Unsat
6,2.8333333,0.13888888,3,2,298,41,3135,729003,736437,45,Sat
1,2.0,0.0,2,2,298,41,8092,718212,735798,61,Sat
4,3.0,0.0,3,3,298,41,13011,722719,745535,64,Sat
2,3.0,0.0,3,3,298,41,5904,751125,764794,57,Sat
3,3.0,0.0,3,3,298,41,7295,749070,765990,53,Sat
2,2.5,0.25,3,2,298,41,7125,771299,788008,54,Sat
1,3.0,0.0,3,3,298,41,3067,751583,758792,48,Sat
1,2.0,0.0,2,2,166,30,5718,854595,869184,35,Unsat
3,2.6666667,0.22222221,3,2,387,89,2934,862693,869745,96,Unsat
3,2.6666667,0.22222221,3,2,387,89,3063,863783,871087,103,Unsat
2,2.5,0.25,3,2,387,89,3312,747380,755083,101,Sat
1,3.0,0.0,3,3,387,89,3253,748949,756477,100,Sat
1,1.0,0.0,1,1,306,193,6250,822277,837517,201,Unsat
2,3.0,0.0,3,3,347,197,40217,762161,807475,205,Sat
3,3.0,0.0,3,3,347,197,657720,0,667620,210,Unknown
1,3.0,0.0,3,3,347,197,13225,762015,789543,233,Sat
2,2.5,0.25,3,2,347,197,9498,872947,886991,210,Unsat
5,3.0,0.0,3,3,2694,135,652970,0,663070,151,Unknown
6,3.0,0.0,3,3,2694,135,6541,813067,824345,201,Unsat
5,2.8,0.16,3,2,2694,135,3923,820658,842778,189,Unsat
2,3.0,0.0,3,3,2694,135,503866,0,508488,186,Unknown
1,2.0,0.0,2,2,292,19,2329,826204,832228,24,Unsat
1,3.0,0.0,3,3,292,19,2556,827190,833635,24,Unsat
4,1.75,0.1875,2,1,528,662,11354,861579,877435,678,Unsat
1,2.0,0.0,2,2,528,662,10066,742634,757348,691,Sat
2,2.0,0.0,2,2,528,662,20649,747334,776599,683,Sat
2,2.0,0.0,2,2,528,662,25735,746305,782908,692,Sat
1,2.0,0.0,2,2,290,207,13080,854185,876825,213,Unsat
1,3.0,0.0,3,3,290,207,6043,748625,759091,218,Sat
1,3.0,0.0,3,3,290,207,5916,738134,748529,217,Sat
5,3.0,0.0,3,3,595,153,614931,0,629544,170,Unknown
3,2.6666667,0.22222221,3,2,595,153,6323,851293,861786,192,Unsat
5,2.8,0.16,3,2,595,153,5864,732716,743145,175,Sat
1,3.0,0.0,3,3,595,153,602550,0,615604,180,Unknown
1,3.0,0.0,3,3,595,153,3081,742370,749670,183,Sat
1,1.0,0.0,1,1,119,207,5257,825066,837738,209,Unsat
1,2.0,0.0,2,2,188,74,4120,830969,839205,77,Unsat
1,2.0,0.0,2,2,432,899,9738,839715,858807,914,Unsat
2,3.0,0.0,3,3,813,229,611824,0,626847,245,Unknown
4,2.75,0.1875,3,2,813,229,6395,799939,812958,281,Unsat
6,3.0,0.0,3,3,813,229,628366,0,638450,259,Unknown
4,2.75,0.1875,3,2,1234,128,11858,754481,770892,139,Sat
6,3.0,0.0,3,3,1234,128,12702,740308,763556,153,Sat
3,2.6666667,0.22222221,3,2,1234,128,21501,750478,780428,170,Sat
2,2.5,0.25,3,2,1234,128,4576,750239,759294,142,Sat
2,2.5,0.25,3,2,548,636,15934,837022,862395,661,Unsat
1,2.0,0.0,2,2,548,636,3093,741993,749369,652,Sat
2,2.5,0.25,3,2,417,85,4684,741049,749921,89,Sat
6,2.3333333,0.5555556,3,1,417,85,610213,0,619776,95,Unknown
2,2.5,0.25,3,2,417,85,4127,749070,757371,109,Sat
1,2.0,0.0,2,2,355,218,9126,860255,876904,227,Unsat
1,2.0,0.0,2,2,355,218,4266,846794,855126,229,Unsat
1,2.0,0.0,2,2,140,51,3135,832165,839457,55,Unsat
1,2.0,0.0,2,2,165,116,4206,835170,843505,118,Unsat
2,2.5,0.25,3,2,406,479,16068,729372,755537,494,Sat
2,2.5,0.25,3,2,406,479,3601,734304,742249,488,Sat
1,1.0,0.0,1,1,118,70,3232,816136,823330,72,Unsat
17,2.8823528,0.103806235,3,2,1093,129,609280,0,622934,140,Unknown
5,3.0,0.0,3,3,1093,129,621683,0,631641,216,Unknown
1,3.0,0.0,3,3,1093,129,7266,739525,751233,175,Sat
2,2.5,0.25,3,2,1093,129,4052,750853,759569,139,Sat
1,3.0,0.0,3,3,1093,129,3677,754338,762551,142,Sat
2,1.5,0.25,2,1,268,226,6761,863746,879880,234,Unsat
1,3.0,0.0,3,3,341,26,6690,731235,742100,29,Sat
1,1.0,0.0,1,1,341,26,2970,720978,727997,33,Sat
5,2.4,0.24000001,3,2,341,26,6437,712705,728548,34,Sat
3,2.6666667,0.22222221,3,2,341,26,8844,756667,774920,40,Sat
15,2.8666666,0.11555555,3,2,399,52,4906,753979,774379,61,Sat
