original_total_changes,original_num_types,original_num_params,original_num_generics,original_num_patterns,original_num_nested_patterns,reduced_total_changes,reduced_num_types,reduced_num_params,reduced_num_generics,reduced_num_patterns,reduced_num_nested_patterns,time
40,8,10,7,4,15,17,6,2,6,1,3,25
31,6,7,11,3,7,31,6,7,11,3,7,0
30,6,7,11,3,6,30,6,7,11,3,6,0
20,6,7,4,1,3,6,2,1,1,1,2,11
18,5,5,6,1,2,7,2,1,2,1,2,10
24,3,5,1,6,15,24,3,5,1,6,15,0
14,3,5,1,3,5,14,3,5,1,3,5,0
15,5,4,3,1,3,7,2,1,1,1,3,14
15,5,3,3,2,4,14,5,3,3,2,3,24
16,6,5,4,1,1,16,6,5,4,1,1,0
16,3,5,5,1,3,9,2,1,4,1,2,9
15,5,6,0,1,4,7,3,1,0,1,3,18
8,2,2,1,1,3,8,2,2,1,1,3,8
9,2,2,3,1,2,9,2,2,3,1,2,5
16,5,6,0,1,5,7,3,1,0,1,3,18
27,7,8,5,2,7,27,7,8,5,2,7,0
7,2,1,0,1,4,6,2,1,0,1,3,12
12,2,2,1,2,7,8,2,2,1,1,3,15
16,4,3,4,2,5,7,2,1,2,1,2,15
12,6,4,0,1,2,8,5,1,0,1,2,12
33,7,8,9,3,9,7,2,1,2,1,2,18
20,6,5,8,1,1,20,6,5,8,1,1,0
31,8,10,8,1,5,14,5,2,4,1,3,25
45,8,10,8,4,19,14,5,2,4,1,3,24
11,3,1,6,1,1,11,3,1,6,1,1,0
8,2,3,1,1,2,8,2,3,1,1,2,0
27,6,9,8,2,4,13,3,2,6,1,2,19
13,2,3,2,2,6,7,2,1,2,1,2,11
12,3,1,5,2,3,12,3,1,5,2,3,0
15,3,4,3,2,5,7,2,1,2,1,2,12
15,3,4,3,2,5,11,3,3,3,1,2,8
17,4,1,6,2,6,10,2,1,4,1,3,12
15,4,1,6,1,4,10,2,1,4,1,3,12
24,6,7,4,3,7,9,4,1,2,1,2,15
13,2,2,4,2,5,9,2,1,4,1,2,9
15,3,4,6,1,2,15,3,4,6,1,2,0
11,3,1,6,1,1,11,3,1,6,1,1,0
54,6,7,6,13,35,54,6,7,6,13,35,0
13,3,4,4,1,2,8,2,1,3,1,2,11
23,3,4,6,4,10,23,3,4,6,4,10,0
16,3,4,6,1,3,16,3,4,6,1,3,0
12,3,1,6,1,2,12,3,1,6,1,2,0
15,3,6,3,1,3,11,3,3,3,1,2,12
19,3,6,3,2,7,11,3,3,3,1,2,11
19,3,6,3,3,7,9,3,1,3,1,2,14
10,3,2,2,2,3,10,3,2,2,2,3,0
11,3,3,0,1,5,6,3,1,0,1,2,11
17,3,3,0,3,11,8,3,2,0,1,3,12
18,3,3,0,3,12,6,3,1,0,1,2,13
21,3,3,0,3,15,8,3,2,0,1,3,14
19,4,4,5,2,6,10,3,1,4,1,2,14
14,5,5,2,1,2,5,2,1,0,1,2,11
13,2,3,2,2,6,7,2,1,2,1,2,9
18,4,6,6,1,2,8,2,1,3,1,2,8
13,2,3,2,2,6,7,2,1,2,1,2,10
20,5,7,5,1,3,9,3,1,3,1,2,13
14,3,4,3,1,4,7,2,1,2,1,2,9
50,4,5,8,8,33,14,3,3,6,1,2,16
31,5,7,5,5,14,9,3,1,3,1,2,13
27,4,5,8,2,10,14,3,3,6,1,2,13
25,4,5,8,2,8,10,2,1,4,1,3,16
22,5,7,5,2,5,11,3,3,3,1,2,11
7,2,3,0,1,2,5,2,1,0,1,2,10
11,3,3,1,3,4,11,3,3,1,3,4,0
18,3,4,3,3,8,9,3,1,3,1,2,10
11,3,3,3,1,2,9,3,1,3,1,2,8
17,5,5,5,1,2,9,3,1,3,1,2,9
26,6,6,8,1,6,9,2,1,3,1,3,24
10,2,2,4,1,2,9,2,1,4,1,2,7
12,2,3,4,1,3,9,2,1,4,1,2,9
14,4,4,4,1,2,5,2,1,0,1,2,12
26,6,7,1,3,12,10,5,1,1,1,3,16
18,6,7,1,1,4,10,5,1,1,1,3,18
22,4,5,1,7,12,22,4,5,1,7,12,0
11,5,3,1,1,2,9,4,3,0,1,2,8
29,7,8,3,2,11,9,4,1,1,1,3,23
17,5,4,6,1,2,11,3,1,5,1,2,8
37,7,8,3,4,19,7,3,1,0,1,3,25
17,5,4,6,1,2,11,3,1,5,1,2,10
17,5,4,6,1,2,11,3,1,5,1,2,10
12,3,4,0,2,5,6,3,1,0,1,2,12
24,6,9,4,2,5,24,6,9,4,2,5,0
9,3,4,0,1,2,7,3,2,0,1,2,8
21,6,9,4,1,2,21,6,9,4,1,2,0
20,6,9,4,1,1,20,6,9,4,1,1,0
74,4,6,0,19,64,6,3,1,0,1,2,22
14,4,6,0,1,4,6,3,1,0,1,2,16
46,4,6,0,11,36,7,3,2,0,1,2,17
12,4,6,0,1,2,6,3,1,0,1,2,14
26,4,6,0,5,16,8,3,3,0,1,2,13
12,4,6,0,1,2,8,3,3,0,1,2,8
14,3,5,4,1,2,8,2,1,3,1,2,9
13,3,2,6,1,2,9,2,1,4,1,2,8
14,3,2,6,1,3,9,2,1,4,1,2,9
18,3,2,6,2,7,10,2,1,4,1,3,12
11,3,5,1,1,2,6,2,1,1,1,2,9
14,3,5,1,2,5,6,2,1,1,1,2,9
13,6,5,0,1,2,5,2,1,0,1,2,13
4,2,0,1,1,1,4,2,0,1,1,1,0
21,5,5,5,2,6,10,3,2,3,1,2,11
16,4,8,1,1,3,6,3,1,0,1,2,17
11,3,3,3,1,2,9,3,1,3,1,2,8
18,5,5,5,1,3,7,2,1,2,1,2,12
22,3,3,1,6,15,22,3,3,1,6,15,0
26,5,5,3,4,13,12,4,3,3,1,2,13
15,5,5,3,1,2,7,2,1,2,1,2,12
11,3,3,3,1,2,10,3,2,3,1,2,7
13,3,3,3,1,4,11,3,3,3,1,2,7
20,4,7,2,2,7,8,3,1,2,1,2,15
5,2,0,2,1,1,5,2,0,2,1,1,0
15,3,6,3,1,3,10,2,2,3,1,3,14
22,5,5,5,2,7,9,3,1,3,1,2,15
31,4,8,3,5,16,7,2,1,2,1,2,14
12,3,2,4,2,3,12,3,2,4,2,3,0
12,3,2,4,1,3,12,3,2,4,1,3,0
11,3,2,4,1,2,11,3,2,4,1,2,0
17,4,8,2,1,3,9,4,1,2,1,2,11
16,4,3,6,1,3,8,2,1,3,1,2,12
16,4,3,6,1,3,8,2,1,3,1,2,12
35,7,9,7,4,12,7,2,1,2,1,2,20
32,7,9,7,3,9,7,2,1,2,1,2,17
28,7,9,7,2,5,7,2,1,2,1,2,16
28,7,9,7,2,5,10,3,2,3,1,2,16
23,7,6,8,1,2,15,5,1,7,1,2,12
7,2,3,0,1,2,5,2,1,0,1,2,11
7,2,3,0,1,2,5,2,1,0,1,2,9
12,2,3,0,2,7,5,2,1,0,1,2,13
21,4,8,6,1,3,8,2,1,3,1,2,12
22,4,8,6,1,4,8,2,1,3,1,2,12
24,5,8,6,2,5,24,5,8,6,2,5,0
27,5,8,6,3,8,27,5,8,6,3,8,0
26,7,3,12,1,4,13,3,1,6,1,3,20
16,3,3,5,2,5,9,2,1,4,1,2,12
25,7,3,12,1,3,13,3,1,6,1,3,14
9,2,3,2,1,2,7,2,1,2,1,2,8
10,3,3,1,1,3,8,2,2,1,1,3,12
23,5,8,6,1,4,8,2,1,3,1,2,14
7,2,1,3,1,1,7,2,1,3,1,1,0
21,7,7,4,1,3,13,6,2,3,1,2,13
38,3,5,2,11,28,38,3,5,2,11,28,0
9,3,4,0,1,2,6,3,1,0,1,2,11
14,3,5,2,2,4,14,3,5,2,2,4,0
39,8,9,7,5,15,6,3,1,0,1,2,21
26,8,9,7,1,2,6,3,1,0,1,2,19
16,5,2,8,1,1,16,5,2,8,1,1,0
26,8,9,7,1,2,16,6,2,6,1,2,18
26,8,9,7,1,2,6,3,1,0,1,2,18
9,2,3,2,1,2,9,2,3,2,1,2,0
18,3,5,4,2,6,8,2,1,3,1,2,11
49,6,8,6,10,29,49,6,8,6,10,29,0
11,3,3,0,2,5,7,3,2,0,1,2,8
20,5,6,3,2,6,7,2,1,2,1,2,15
19,5,6,3,2,5,7,2,1,2,1,2,12
20,7,10,1,1,2,8,5,1,0,1,2,11
22,7,10,1,2,4,8,5,1,0,1,2,17
13,3,3,5,1,2,9,2,1,4,1,2,8
14,5,3,2,3,4,14,5,3,2,3,4,0
9,3,4,0,1,2,6,3,1,0,1,2,11
9,2,1,3,1,3,9,2,1,3,1,3,4
22,7,8,1,3,6,22,7,8,1,3,6,0
16,4,7,2,1,3,9,3,2,2,1,2,14
12,2,3,2,2,5,7,2,1,2,1,2,11
42,5,7,8,8,22,42,5,7,8,8,22,0
16,4,7,2,1,3,8,3,1,2,1,2,20
12,2,3,4,1,3,9,2,1,4,1,2,9
16,2,3,4,2,7,9,2,1,4,1,2,11
11,3,4,2,1,2,7,2,1,2,1,2,8
17,4,2,3,3,8,17,4,2,3,3,8,0
10,2,3,3,1,2,8,2,1,3,1,2,8
14,5,5,3,1,1,14,5,5,3,1,1,0
15,5,5,3,1,2,15,5,5,3,1,2,0
22,4,5,8,3,5,22,4,5,8,3,5,0
23,4,5,8,3,6,23,4,5,8,3,6,0
7,2,2,0,1,3,5,2,1,0,1,2,10
9,2,1,4,1,2,9,2,1,4,1,2,2
48,7,10,1,10,30,9,4,2,1,1,2,111
18,3,5,3,2,7,9,3,1,3,1,2,27
38,6,8,1,6,23,38,6,8,1,6,23,0
15,2,3,1,2,9,7,2,1,1,1,3,13
13,3,4,4,1,2,13,3,4,4,1,2,0
16,3,4,4,2,5,16,3,4,4,2,5,0
12,3,4,4,1,1,12,3,4,4,1,1,0
15,5,3,5,1,2,6,2,1,1,1,2,11
17,6,9,0,1,2,5,2,1,0,1,2,18
19,6,9,0,1,4,6,3,1,0,1,2,18
29,7,11,8,2,3,15,5,2,6,1,2,29
20,8,3,6,3,3,20,8,3,6,3,3,0
50,6,6,0,9,38,7,3,1,0,1,3,24
26,6,6,0,4,14,7,3,2,0,1,2,15
25,6,6,0,3,13,7,3,1,0,1,3,18
34,6,6,0,6,22,7,3,1,0,1,3,23
18,6,6,0,2,6,7,3,2,0,1,2,12
19,6,6,0,2,7,7,3,2,0,1,2,14
15,4,7,3,1,1,15,4,7,3,1,1,0
26,6,7,8,1,5,10,3,1,3,1,3,21
8,2,0,5,1,1,8,2,0,5,1,1,0
