num_patterns,average_pattern_depth,variance_pattern_depth,max_pattern_depth,min_pattern_depth,enumeration_time,typegen_time,solver_time,processing_time,total_time,program_gen_time,result
1,2.0,0.0,2,2,262,130,0,91,624,133,Sat
1,2.0,0.0,2,2,262,130,3141,125,7318,132,Sat
4,3.0,0.0,3,3,202,174,7475,135,11729,178,Unsat
1,2.0,0.0,2,2,202,174,9694,137,13947,179,Unsat
3,2.3333333,0.22222221,3,2,196,33,3112,129,7012,37,Unsat
3,3.0,0.0,3,3,196,33,3687,151,7583,35,Unsat
1,2.0,0.0,2,2,196,33,0,27065759,27066295,36,Sat
1,2.0,0.0,2,2,196,33,0,145,1228,39,Sat
1,1.0,0.0,1,1,243,130,5524,2058708,2071789,134,Unsat
1,1.0,0.0,1,1,415,207,12409,271,23145,216,Sat
2,2.5,0.25,3,2,415,207,8552,247,18972,213,Sat
1,2.0,0.0,2,2,415,207,5171,162,12918,213,Sat
3,2.3333333,0.22222221,3,2,302,245,9588,142,13806,251,Unsat
1,2.0,0.0,2,2,302,245,7773,151,12108,249,Sat
9,3.4444444,0.6913579,4,2,254,32,2545,132,6608,38,Unsat
2,3.0,0.0,3,3,254,32,3408,124,7473,50,Sat
1,4.0,0.0,4,4,254,32,4441,125,8534,35,Sat
2,4.0,0.0,4,4,254,32,3691,115,7760,34,Sat
1,4.0,0.0,4,4,254,32,3663,124,7734,35,Sat
2,4.0,0.0,4,4,254,32,0,84,630,35,Sat
4,3.0,1.0,4,2,534,629,3857,169,8190,643,Unsat
1,4.0,0.0,4,4,534,629,5432,181,9870,644,Sat
1,4.0,0.0,4,4,534,629,5391,147,9812,638,Sat
1,4.0,0.0,4,4,534,629,0,109,657,633,Sat
2,4.0,0.0,4,4,534,629,5418,157,9823,635,Sat
1,4.0,0.0,4,4,534,629,0,105,673,643,Sat
1,2.0,0.0,2,2,534,629,0,2261718,2262247,635,Sat
1,2.0,0.0,2,2,455,256,7448,232,17837,282,Sat
1,3.0,0.0,3,3,455,256,7459,266,17636,262,Sat
2,2.5,0.25,3,2,455,256,8012,139,16841,267,Sat
1,2.0,0.0,2,2,455,256,3015,130,7205,261,Sat
1,3.0,0.0,3,3,455,256,3050,153,7259,258,Sat
1,3.0,0.0,3,3,266,19,2960,123,6886,21,Sat
3,1.6666666,0.22222221,2,1,266,19,2479,123,6297,21,Unsat
6,2.8333333,0.13888888,3,2,366,66,11703,117,16182,77,Sat
4,2.5,0.25,3,2,366,66,3934,168,9889,74,Sat
1,3.0,0.0,3,3,366,66,0,88,3374,71,Sat
3,2.6666667,0.22222221,3,2,366,66,9181,135,13724,70,Sat
3,3.0,0.0,3,3,313,39,2995,120,6933,42,Unsat
6,2.8333333,0.13888888,3,2,313,39,2942,121,6894,44,Unsat
1,3.0,0.0,3,3,313,39,0,118,683,46,Sat
1,2.0,0.0,2,2,136,24,2529,136,6378,26,Unsat
7,2.857143,0.12244898,3,2,703,93,3818,236,8421,116,Unsat
1,3.0,0.0,3,3,703,93,5194,127,9449,131,Unsat
1,2.0,0.0,2,2,285,38,2968,115,6988,41,Sat
2,2.0,0.0,2,2,285,38,2951,119,6928,39,Sat
1,1.0,0.0,1,1,285,38,2893,159,6938,40,Sat
6,3.5,0.25,4,3,620,37,27542,183,32119,45,Sat
15,3.6,0.3733332,4,2,620,37,3924,2284837,2293363,50,Sat
19,3.631579,0.5484767,4,2,620,37,4057,224,9543,84,Sat
7,3.857143,0.12244899,4,3,620,37,4911,142,9418,57,Sat
