num_patterns,average_pattern_depth,variance_pattern_depth,max_pattern_depth,min_pattern_depth,typegen_time,match_gen_time,processing_time,program_gen_time,total_time,correct
3,3.6666667,0.22222221,4,3,40,91,370713,131,370849,false
14,3.9285715,0.066326536,4,3,142,805,512485,947,513438,true
33,3.7878788,0.22773176,4,2,72,130,550651,202,550857,true
26,3.8846154,0.17899407,4,2,266,523,589795,789,590588,true
1,2.0,0.0,2,2,61,19,427446,80,427530,false
2,1.5,0.25,2,1,76,40,423217,116,423337,true
1,3.0,0.0,3,3,164,40,425682,204,425890,true
3,3.6666667,0.22222221,4,3,46,45,437545,91,437641,true
2,1.5,0.25,2,1,107,62,383008,169,383183,false
1,2.0,0.0,2,2,93,40,411317,133,411455,true
1,2.0,0.0,2,2,96,48,423202,144,423350,false
1,2.0,0.0,2,2,261,30,429261,291,429557,false
1,2.0,0.0,2,2,245,95,372659,340,373003,false
1,2.0,0.0,2,2,136,51,380765,187,380958,false
3,1.3333334,0.22222221,2,1,288,66,434017,354,434377,true
1,2.0,0.0,2,2,88,48,411392,136,411533,false
1,2.0,0.0,2,2,252,171,450726,423,451153,false
1,1.0,0.0,1,1,190,243,426139,433,426577,false
1,2.0,0.0,2,2,443,84,421251,527,421783,true
1,2.0,0.0,2,2,20,24,404969,44,405019,false
1,1.0,0.0,1,1,624,219,383728,843,384578,false
1,1.0,0.0,1,1,30,39,410150,69,410224,true
1,2.0,0.0,2,2,304,187,422979,491,423476,false
1,1.0,0.0,1,1,68,71,405827,139,405972,true
1,4.0,0.0,4,4,183,138,433184,321,433510,true
1,2.0,0.0,2,2,32,39,411808,71,411884,false
4,2.5,0.25,3,2,185,558,381860,743,382608,false
1,2.0,0.0,2,2,133,42,406169,175,406351,false
3,3.6666667,0.22222221,4,3,49,59,435104,108,435217,true
1,2.0,0.0,2,2,18,27,419492,45,419541,true
1,2.0,0.0,2,2,226,88,367154,314,367473,false
3,3.0,0.6666667,4,2,58,88,389104,146,389254,false
2,2.5,0.25,3,2,422,195,379555,617,380178,false
1,1.0,0.0,1,1,44,28,402862,72,402938,false
2,2.0,0.0,2,2,154,104,415370,258,415632,true
31,3.8064516,0.28511983,4,2,99,482,758073,581,758658,true
1,2.0,0.0,2,2,347,43,431294,390,431689,false
1,2.0,0.0,2,2,128,75,375293,203,375500,false
2,1.5,0.25,2,1,393,116,423765,509,424279,true
4,2.5,1.25,4,1,42,42,379202,84,379291,false
2,1.5,0.25,2,1,124,60,371073,184,371262,false
1,2.0,0.0,2,2,33,33,415567,66,415638,false
2,2.0,0.0,2,2,24,21,414540,45,414590,true
3,2.6666667,0.88888884,4,2,259,278,376736,537,377278,false
2,2.0,0.0,2,2,674,458,428983,1132,430120,true
3,3.3333333,0.88888884,4,2,27,52,374734,79,374817,false
20,3.8,0.25999993,4,2,53,228,418579,281,418866,false
1,1.0,0.0,1,1,27,41,414174,68,414249,true
1,1.0,0.0,1,1,54,16,415080,70,415155,true
6,3.3333333,0.8888889,4,2,211,566,396644,777,397426,false
1,2.0,0.0,2,2,248,80,425957,328,426290,true
1,2.0,0.0,2,2,137,45,420640,182,420827,false
3,1.3333334,0.22222221,2,1,30,18,422102,48,422154,true
1,2.0,0.0,2,2,425,227,416884,652,417542,true
1,1.0,0.0,1,1,342,283,412636,625,413267,true
1,1.0,0.0,1,1,57,75,404786,132,404923,false
2,3.5,0.25,4,3,442,276,442742,718,443466,true
1,2.0,0.0,2,2,78,86,413059,164,413229,false
3,1.6666666,0.22222221,2,1,32,30,415482,62,415549,true
7,2.2857144,1.0612245,4,1,29,37,437086,66,437157,true
1,4.0,0.0,4,4,937,1923,431963,2860,434829,true
1,2.0,0.0,2,2,368,76,428350,444,428798,false
1,2.0,0.0,2,2,166,92,383452,258,383714,false
1,2.0,0.0,2,2,209,152,379957,361,380324,false
1,2.0,0.0,2,2,24,22,362460,46,362510,false
3,1.6666666,0.22222221,2,1,138,118,428795,256,429057,true
4,3.75,0.1875,4,3,138,264,403999,402,404406,false
3,2.6666667,1.5555557,4,1,165,131,379911,296,380212,false
1,1.0,0.0,1,1,80,56,448803,136,448944,true
6,3.5,0.5833333,4,2,26,53,468881,79,468964,true
3,2.6666667,0.88888884,4,2,33,43,422380,76,422460,true
2,2.0,0.0,2,2,69,60,419995,129,420128,true
1,3.0,0.0,3,3,30,24,411906,54,411965,true
2,3.0,0.0,3,3,608,468,390974,1076,392055,false
1,2.0,0.0,2,2,309,113,426641,422,427069,false
1,2.0,0.0,2,2,535,97,428035,632,428674,true
1,3.0,0.0,3,3,95,138,420643,233,420882,true
3,4.0,0.0,4,4,344,306,454276,650,454933,true
1,3.0,0.0,3,3,101,39,436115,140,436259,false
1,1.0,0.0,1,1,74,140,437328,214,437546,false
2,1.5,0.25,2,1,105,52,428582,157,428744,true
2,2.5,2.25,4,1,72,83,430295,155,430456,true
62,3.935484,0.09261185,4,2,189,636,628018,825,628848,false
4,3.25,0.6875,4,2,302,106,442158,408,442573,true
2,2.5,0.25,3,2,922,643,421962,1565,423534,true
1,2.0,0.0,2,2,19,25,414691,44,414740,false
8,3.5,0.75,4,2,186,271,442293,457,442754,false
3,2.0,0.6666667,3,1,25,22,415076,47,415126,true
3,3.6666667,0.22222221,4,3,234,588,446398,822,447224,true
1,4.0,0.0,4,4,75,74,416315,149,416468,false
1,1.0,0.0,1,1,63,13,409161,76,409242,false
1,2.0,0.0,2,2,63,52,384024,115,384142,false
1,1.0,0.0,1,1,171,55,424634,226,424865,false
1,4.0,0.0,4,4,21,61,430033,82,430119,true
2,1.5,0.25,2,1,58,44,424553,102,424659,true
2,2.0,1.0,3,1,102,54,369708,156,369869,false
1,3.0,0.0,3,3,173,212,426084,385,426475,true
1,1.0,0.0,1,1,37,16,422639,53,422697,true
1,2.0,0.0,2,2,81,26,402240,107,402351,true
1,2.0,0.0,2,2,131,26,373240,157,373402,false
1,2.0,0.0,2,2,132,54,411969,186,412162,true
4,4.0,0.0,4,4,80,158,466639,238,466880,true
1,2.0,0.0,2,2,90,86,418864,176,419044,true
1,2.0,0.0,2,2,115,63,413956,178,414138,true
1,1.0,0.0,1,1,286,81,374636,367,375007,false
5,3.2,0.55999994,4,2,236,260,461916,496,462417,true
3,3.6666667,0.22222221,4,3,390,543,384636,933,385574,false
1,2.0,0.0,2,2,187,83,416462,270,416738,false
2,2.0,0.0,2,2,224,83,383640,307,383954,false
1,2.0,0.0,2,2,183,165,421760,348,422112,true
1,2.0,0.0,2,2,178,169,371972,347,372325,false
1,1.0,0.0,1,1,309,234,366584,543,367133,false
1,3.0,0.0,3,3,98,186,414406,284,414696,true
1,2.0,0.0,2,2,211,51,423854,262,424120,false
168,4.0,0.0,4,4,42,965,2257,1007,3268,false
1,2.0,0.0,2,2,220,34,419281,254,419537,false
9,3.6666667,0.44444445,4,2,35,96,448576,131,448712,true
1,4.0,0.0,4,4,39,23,422882,62,422949,true
15,3.2666667,0.8622223,4,1,28,71,461566,99,461670,true
2,1.5,0.25,2,1,23,25,408855,48,408908,true
1,1.0,0.0,1,1,129,22,422596,151,422751,false
1,2.0,0.0,2,2,165,81,436772,246,437024,true
1,1.0,0.0,1,1,45,48,417718,93,417815,true
1,1.0,0.0,1,1,24,21,396046,45,396097,false
3,3.0,0.6666667,4,2,207,232,427084,439,427528,true
2,1.0,0.0,1,1,67,60,358219,127,358353,false
9,3.8888888,0.09876542,4,3,225,302,469287,527,469821,true
1,2.0,0.0,2,2,156,69,421152,225,421384,false
8,4.0,0.0,4,4,840,991,421641,1831,423478,false
1,2.0,0.0,2,2,113,31,420626,144,420776,false
1,2.0,0.0,2,2,30,31,404815,61,404883,true
4,2.75,0.1875,3,2,209,222,382336,431,382774,false
1,1.0,0.0,1,1,318,67,435236,385,435626,true
1,1.0,0.0,1,1,210,20,378955,230,379189,false
