original_total_changes,original_num_types,original_num_params,original_num_generics,original_num_patterns,original_num_nested_patterns,reduced_total_changes,reduced_num_types,reduced_num_params,reduced_num_generics,reduced_num_patterns,reduced_num_nested_patterns,time
27,7,7,11,1,2,11,3,1,5,1,2,10
27,7,7,11,1,2,11,3,1,5,1,2,11
7,3,1,1,1,2,6,3,1,0,1,2,6
12,4,4,2,1,2,12,4,4,2,1,2,0
12,4,4,2,1,2,12,4,4,2,1,2,0
22,7,5,4,4,6,22,7,5,4,4,6,0
25,7,5,4,5,9,25,7,5,4,5,9,0
26,7,5,4,5,10,26,7,5,4,5,10,0
9,2,2,3,1,2,9,2,2,3,1,2,0
8,2,2,3,1,1,8,2,2,3,1,1,0
10,2,2,3,1,3,10,2,2,3,1,3,0
10,2,2,3,1,3,10,2,2,3,1,3,0
11,2,2,3,1,4,11,2,2,3,1,4,0
11,2,2,3,1,4,11,2,2,3,1,4,0
9,2,2,3,1,2,9,2,2,3,1,2,0
10,2,2,3,1,3,10,2,2,3,1,3,0
10,2,2,3,1,3,10,2,2,3,1,3,0
9,2,2,3,1,2,9,2,2,3,1,2,0
11,2,2,3,1,4,11,2,2,3,1,4,0
11,2,2,3,1,4,11,2,2,3,1,4,0
10,2,2,3,1,3,10,2,2,3,1,3,0
10,2,2,3,1,3,10,2,2,3,1,3,0
9,2,2,3,1,2,9,2,2,3,1,2,0
10,2,2,3,1,3,10,2,2,3,1,3,0
11,4,1,4,1,2,7,2,1,2,1,2,8
11,4,1,4,1,2,7,2,1,2,1,2,6
12,4,4,1,1,3,6,2,1,1,1,2,9
11,4,4,1,1,2,6,2,1,1,1,2,8
11,4,4,1,1,2,6,2,1,1,1,2,9
12,4,4,1,1,3,6,2,1,1,1,2,9
12,4,4,1,1,3,6,2,1,1,1,2,11
30,8,8,9,2,5,8,2,1,3,1,2,20
28,8,8,9,1,3,8,2,1,3,1,2,18
28,8,8,9,1,3,8,2,1,3,1,2,16
33,8,8,9,3,8,8,2,1,3,1,2,24
31,8,8,9,2,6,8,2,1,3,1,2,16
33,8,8,9,3,8,11,3,3,3,1,2,18
30,8,8,9,2,5,16,5,3,6,1,2,16
33,8,8,9,3,8,8,2,1,3,1,2,21
30,8,8,9,2,5,8,2,1,3,1,2,18
30,8,8,9,2,5,8,2,1,3,1,2,18
27,8,8,9,1,2,8,2,1,3,1,2,8
30,8,8,9,2,5,8,2,1,3,1,2,19
31,8,8,9,2,6,8,2,1,3,1,2,15
17,4,5,5,1,3,10,2,2,3,1,3,11
17,4,5,5,1,3,10,2,2,3,1,3,12
17,4,5,5,1,3,10,2,2,3,1,3,11
34,8,8,9,3,9,8,2,1,3,1,2,19
25,5,5,12,2,3,25,5,5,12,2,3,0
24,5,5,12,2,2,24,5,5,12,2,2,0
37,4,4,1,11,28,37,4,4,1,11,28,0
29,4,4,1,9,20,29,4,4,1,9,20,0
25,4,4,1,8,16,25,4,4,1,8,16,0
35,4,4,1,11,26,35,4,4,1,11,26,0
32,4,4,1,10,23,32,4,4,1,10,23,0
33,4,4,1,10,24,33,4,4,1,10,24,0
35,4,4,1,11,26,35,4,4,1,11,26,0
25,4,4,1,8,16,25,4,4,1,8,16,0
33,4,4,1,10,24,33,4,4,1,10,24,0
29,4,4,1,9,20,29,4,4,1,9,20,0
35,4,4,1,11,26,35,4,4,1,11,26,0
28,4,4,1,9,19,28,4,4,1,9,19,0
