num_patterns,average_pattern_depth,variance_pattern_depth,max_pattern_depth,min_pattern_depth,typegen_time,match_gen_time,processing_time,program_gen_time,total_time,correct
1,1.0,0.0,1,1,20,14,66,34,102,false
2,1.5,0.25,2,1,65,33,95,98,195,true
3,2.3333333,0.88888884,3,1,375,181,87,556,645,true
1,2.0,0.0,2,2,185,72,84,257,343,false
9,3.4444444,0.24691357,4,3,135,468,107,603,711,true
1,2.0,0.0,2,2,99,27,66,126,194,true
6,3.5,0.5833333,4,2,92,262,131,354,487,false
2,2.0,0.0,2,2,40,33,79,73,155,false
1,4.0,0.0,4,4,16,41,232,57,291,false
1,1.0,0.0,1,1,63,16,172,79,253,false
6,4.0,0.0,4,4,25,143,109,168,279,true
1,2.0,0.0,2,2,16,13,69,29,100,false
1,2.0,0.0,2,2,15,10,63,25,90,false
1,1.0,0.0,1,1,7,8,73,15,90,false
3,1.6666666,0.22222221,2,1,386,128,139,514,655,false
7,3.5714285,1.1020406,4,1,36,109,111,145,258,true
2,2.5,2.25,4,1,443,277,168,720,891,false
1,1.0,0.0,1,1,111,50,80,161,243,true
2,2.0,0.0,2,2,119,71,85,190,277,true
1,1.0,0.0,1,1,15,12,92,27,121,true
1,1.0,0.0,1,1,37,27,63,64,130,true
1,2.0,0.0,2,2,141,23,187,164,353,false
2,1.5,0.25,2,1,68,63,356,131,488,true
1,4.0,0.0,4,4,6,13,69,19,89,true
1,2.0,0.0,2,2,68,79,88,147,236,true
3,3.6666667,0.22222221,4,3,20,25,107,45,154,true
2,3.0,1.0,4,2,358,398,317,756,1074,false
5,3.2,0.9599999,4,2,106,108,94,214,310,true
36,3.9444444,0.10802469,4,2,67,473,424,540,967,false
1,2.0,0.0,2,2,178,44,892,222,1116,false
2,1.5,0.25,2,1,124,66,88,190,280,true
1,3.0,0.0,3,3,134,136,101,270,373,true
2,2.0,0.0,2,2,224,204,137,428,567,false
10,4.0,0.0,4,4,53,298,457,351,810,true
2,1.5,0.25,2,1,112,100,87,212,301,false
1,1.0,0.0,1,1,29,15,94,44,139,false
3,1.6666666,0.22222221,2,1,42,53,81,95,177,false
4,2.5,0.25,3,2,68,83,87,151,240,false
1,2.0,0.0,2,2,271,47,124,318,444,false
1,2.0,0.0,2,2,145,67,90,212,303,true
1,3.0,0.0,3,3,24,45,84,69,155,true
1,2.0,0.0,2,2,35,55,77,90,169,false
1,3.0,0.0,3,3,67,37,88,104,194,true
1,2.0,0.0,2,2,44,24,2813337,68,2813407,false
10,4.0,0.0,4,4,443,3476,948,3919,4873,true
2,3.0,1.0,4,2,628,3349,324,3977,4306,true
1,4.0,0.0,4,4,7665,11331,1158,18996,20158,true
1,1.0,0.0,1,1,17,322,246,339,589,false
1,3.0,0.0,3,3,187,101,239,288,531,false
1,2.0,0.0,2,2,129,81,273,210,485,false
7,2.857143,1.2653062,4,1,40,79,239,119,361,true
1,1.0,0.0,1,1,101,20,154,121,277,true
1,1.0,0.0,1,1,63,30,138,93,234,false
2,1.0,0.0,1,1,27,21,216,48,267,false
1,2.0,0.0,2,2,11,12,135,23,161,false
1,1.0,0.0,1,1,50,13,200,63,266,false
1,1.0,0.0,1,1,58,16,139,74,216,false
8,3.25,0.6875,4,2,168,682,253,850,1106,false
2,2.5,0.25,3,2,263,191,186,454,642,true
1,2.0,0.0,2,2,166,167,20395713,333,20396049,false
1,3.0,0.0,3,3,1039,646,405,1685,2097,false
1,2.0,0.0,2,2,288,44,185,332,520,false
2,4.0,0.0,4,4,315,4500,653,4815,5471,false
1,2.0,0.0,2,2,254,71,171,325,500,false
1,2.0,0.0,2,2,149,96,157,245,404,false
1,2.0,0.0,2,2,205,88,199,293,495,false
1,2.0,0.0,2,2,168,37,187,205,394,false
1,2.0,0.0,2,2,72,117,173,189,365,true
2,3.0,1.0,4,2,233,165,195,398,596,true
3,1.6666666,0.22222221,2,1,55,32,140,87,230,false
1,2.0,0.0,2,2,253,33,201,286,490,false
1,2.0,0.0,2,2,729,175,229,904,1136,false
2,1.5,0.25,2,1,113,99,256,212,471,false
5,3.6,0.24000001,4,3,48,66,236,114,353,true
1,1.0,0.0,1,1,242,29,191,271,464,false
1,2.0,0.0,2,2,4032,1258,391,5290,5683,false
101,3.861386,0.21840988,4,1,257,1770,1388,2027,3419,false
1,1.0,0.0,1,1,646,203,239,849,1092,false
1,3.0,0.0,3,3,1334,271,325,1605,1934,true
1,4.0,0.0,4,4,527,222,248,749,1001,true
1,2.0,0.0,2,2,541,60,239,601,844,false
1,2.0,0.0,2,2,872,323,188,1195,1386,false
1,2.0,0.0,2,2,85,43,203,128,334,true
2,1.5,0.25,2,1,300,136,517,436,956,false
3,2.6666667,0.22222221,3,2,48,39,194,87,285,true
4,1.75,0.1875,2,1,100,104,205,204,412,true
1,4.0,0.0,4,4,128,370,2904802,498,2905304,false
1,2.0,0.0,2,2,307,54,591,361,956,false
3,2.6666667,0.88888884,4,2,183,237,171,420,593,true
1,4.0,0.0,4,4,72,75,433,147,581,false
8,3.5,0.75,4,2,64,125,151,189,342,false
2,2.0,0.0,2,2,108,121,76,229,307,false
1,2.0,0.0,2,2,41,34,73,75,150,false
1,4.0,0.0,4,4,2641,2148,460,4789,5250,false
1,2.0,0.0,2,2,144,140,68,284,354,false
3,3.3333333,0.88888884,4,2,46,94,88,140,229,false
1,1.0,0.0,1,1,52,15,61,67,130,true
1,1.0,0.0,1,1,26,26,76,52,130,false
3,1.3333334,0.22222221,2,1,54,33,65,87,154,true
1,4.0,0.0,4,4,23,87,59,110,172,true
2,2.0,1.0,3,1,700,1041,124,1741,1868,true
2,1.0,0.0,1,1,49,27,58,76,137,true
1,3.0,0.0,3,3,55,20,60,75,136,false
1,2.0,0.0,2,2,18,12,55,30,86,false
1,4.0,0.0,4,4,88,87,74,175,250,true
3,1.3333334,0.22222221,2,1,15,11,86,26,114,true
